# t(s)   x_grid(m)   x_solar(m)   bubble_x_grid(m)   bubble_x_solar(m)
0.000000000e+00  -9.312500e+01  -9.312500e+01  -9.312500e+01  -9.312500e+01
3.127163392e-08  -4.625000e+01  -4.625000e+01  -4.625000e+01  -4.625000e+01
6.254326785e-08  6.250000e-01  6.250000e-01  6.250000e-01  6.250000e-01
9.381490177e-08  4.750000e+01  4.750000e+01  4.750000e+01  4.750000e+01
1.250865357e-07  9.437500e+01  9.437500e+01  9.437500e+01  9.437500e+01
1.563581696e-07  1.412500e+02  1.412500e+02  1.412500e+02  1.412500e+02
1.876298035e-07  1.881250e+02  1.881250e+02  1.881250e+02  1.881250e+02
2.189014375e-07  2.350000e+02  2.350000e+02  2.350000e+02  2.350000e+02
2.501730714e-07  2.818750e+02  2.818750e+02  2.818750e+02  2.818750e+02
2.814447053e-07  3.287500e+02  3.287500e+02  3.287500e+02  3.287500e+02
3.127163392e-07  3.756250e+02  3.756250e+02  3.756250e+02  3.756250e+02
3.439879732e-07  4.225000e+02  4.225000e+02  4.225000e+02  4.225000e+02
3.752596071e-07  4.693750e+02  4.693750e+02  4.693750e+02  4.693750e+02
4.065312410e-07  5.162500e+02  5.162500e+02  5.162500e+02  5.162500e+02
4.378028749e-07  5.631250e+02  5.631250e+02  5.631250e+02  5.631250e+02
4.690745089e-07  6.100000e+02  6.100000e+02  6.100000e+02  6.100000e+02
5.003461428e-07  6.568750e+02  6.568750e+02  6.568750e+02  6.568750e+02
5.316177767e-07  7.037500e+02  7.037500e+02  7.037500e+02  7.037500e+02
5.628894106e-07  7.506250e+02  7.506250e+02  7.506250e+02  7.506250e+02
5.941610446e-07  7.975000e+02  7.975000e+02  7.975000e+02  7.975000e+02
6.254326785e-07  8.443750e+02  8.443750e+02  8.443750e+02  8.443750e+02
6.567043124e-07  8.912500e+02  8.912500e+02  8.912500e+02  8.912500e+02
6.879759463e-07  9.381250e+02  9.381250e+02  9.381250e+02  9.381250e+02
7.192475803e-07  9.850000e+02  9.850000e+02  9.850000e+02  9.850000e+02
7.505192142e-07  1.031875e+03  1.031875e+03  1.031875e+03  1.031875e+03
7.817908481e-07  1.078750e+03  1.078750e+03  1.078750e+03  1.078750e+03
8.130624820e-07  1.125625e+03  1.125625e+03  1.125625e+03  1.125625e+03
