# t(s)   rho_eff(J)   power(W)   rho_I(J)   rho_N(J)
0.000000000e+00  3.092151e+07  1.820408e+14  3.092151e+07  0.000000e+00
3.127163392e-08  3.661422e+07  1.385170e+14  3.661422e+07  0.000000e+00
6.254326785e-08  3.958481e+07  8.105859e+12  3.958481e+07  0.000000e+00
9.381490177e-08  3.712119e+07  -1.024074e+14  3.712119e+07  0.000000e+00
1.250865357e-07  3.317991e+07  -6.590541e+13  3.317991e+07  0.000000e+00
1.563581696e-07  3.299925e+07  5.655319e+13  3.299925e+07  0.000000e+00
1.876298035e-07  3.671693e+07  1.074540e+14  3.671693e+07  0.000000e+00
2.189014375e-07  3.971977e+07  3.197262e+13  3.971977e+07  0.000000e+00
2.501730714e-07  3.871661e+07  -6.545978e+13  3.871661e+07  0.000000e+00
2.814447053e-07  3.562571e+07  -6.449675e+13  3.562571e+07  0.000000e+00
3.127163392e-07  3.468277e+07  2.086846e+13  3.468277e+07  0.000000e+00
3.439879732e-07  3.693089e+07  7.210334e+13  3.693089e+07  0.000000e+00
3.752596071e-07  3.919235e+07  2.448862e+13  3.919235e+07  0.000000e+00
4.065312410e-07  3.846248e+07  -5.493590e+13  3.846248e+07  0.000000e+00
4.378028749e-07  3.575648e+07  -6.251693e+13  3.575648e+07  0.000000e+00
4.690745089e-07  3.455247e+07  6.790926e+12  3.455247e+07  0.000000e+00
5.003461428e-07  3.618120e+07  5.931377e+13  3.618120e+07  0.000000e+00
5.316177767e-07  3.826215e+07  2.914360e+13  3.826215e+07  0.000000e+00
5.628894106e-07  3.800394e+07  -3.886583e+13  3.800394e+07  0.000000e+00
5.941610446e-07  3.583135e+07  -5.368208e+13  3.583135e+07  0.000000e+00
6.254326785e-07  3.464649e+07  1.527761e+12  3.464649e+07  0.000000e+00
6.567043124e-07  3.592690e+07  5.172133e+13  3.592690e+07  0.000000e+00
6.879759463e-07  3.788131e+07  3.221096e+13  3.788131e+07  0.000000e+00
7.192475803e-07  3.794148e+07  -2.792686e+13  3.794148e+07  0.000000e+00
7.505192142e-07  3.613467e+07  -4.837257e+13  3.613467e+07  0.000000e+00
7.817908481e-07  3.491610e+07  -4.470580e+12  3.491610e+07  0.000000e+00
8.130624820e-07  3.585507e+07  4.345676e+13  3.585507e+07  0.000000e+00
8.443341160e-07  3.763403e+07  3.269064e+13  3.763403e+07  0.000000e+00
8.756057499e-07  3.789965e+07  -2.010455e+13  3.789965e+07  0.000000e+00
9.068773838e-07  3.637663e+07  -4.423500e+13  3.637663e+07  0.000000e+00
9.381490177e-07  3.513305e+07  -9.529644e+12  3.513305e+07  0.000000e+00
9.694206517e-07  3.578061e+07  3.614529e+13  3.578061e+07  0.000000e+00
1.000692286e-06  3.739369e+07  3.271875e+13  3.739369e+07  0.000000e+00
1.031963920e-06  3.782695e+07  -1.321982e+13  3.782695e+07  0.000000e+00
1.063235553e-06  3.656688e+07  -3.985752e+13  3.656688e+07  0.000000e+00
1.094507187e-06  3.533413e+07  -1.311898e+13  3.533413e+07  0.000000e+00
1.125778821e-06  3.574637e+07  3.002729e+13  3.574637e+07  0.000000e+00
1.157050455e-06  3.721213e+07  3.272078e+13  3.721213e+07  0.000000e+00
1.188322089e-06  3.779284e+07  -6.792776e+12  3.779284e+07  0.000000e+00
1.219593723e-06  3.678729e+07  -3.510250e+13  3.678729e+07  0.000000e+00
1.250865357e-06  3.559741e+07  -1.555650e+13  3.559741e+07  0.000000e+00
1.282136991e-06  3.581434e+07  2.452939e+13  3.581434e+07  0.000000e+00
1.313408625e-06  3.713156e+07  3.198010e+13  3.713156e+07  0.000000e+00
1.344680259e-06  3.781448e+07  -1.868381e+12  3.781448e+07  0.000000e+00
1.375951893e-06  3.701471e+07  -3.157918e+13  3.701471e+07  0.000000e+00
1.407223527e-06  3.583941e+07  -1.896516e+13  3.583941e+07  0.000000e+00
1.438495161e-06  3.582856e+07  1.735903e+13  3.582856e+07  0.000000e+00
1.469766794e-06  3.692510e+07  2.840566e+13  3.692510e+07  0.000000e+00
1.501038428e-06  3.760515e+07  -1.122910e+11  3.760515e+07  0.000000e+00
1.532310062e-06  3.691808e+07  -3.037875e+13  3.691808e+07  0.000000e+00
1.563581696e-06  3.570516e+07  -2.365787e+13  3.570516e+07  0.000000e+00
1.594853330e-06  3.543844e+07  9.250139e+12  3.543844e+07  0.000000e+00
1.626124964e-06  3.628370e+07  2.410792e+13  3.628370e+07  0.000000e+00
1.657396598e-06  3.694623e+07  2.514006e+12  3.694623e+07  0.000000e+00
1.688668232e-06  3.644093e+07  -2.456791e+13  3.644093e+07  0.000000e+00
1.719939866e-06  3.540967e+07  -1.864222e+13  3.540967e+07  0.000000e+00
1.751211500e-06  3.527498e+07  1.567546e+13  3.527498e+07  0.000000e+00
1.782483134e-06  3.639007e+07  3.729953e+13  3.639007e+07  0.000000e+00
1.813754768e-06  3.760782e+07  2.197600e+13  3.760782e+07  0.000000e+00
1.845026402e-06  3.776452e+07  -8.399228e+12  3.776452e+07  0.000000e+00
1.876298035e-06  3.708250e+07  -1.700882e+13  3.708250e+07  0.000000e+00
